chunk_id,citation,source,question
21,21 CFR 123 § 123.12,21 CFR 123,Can an importer utilize a competent third party to help conduct import verification activities?
22,21 CFR 123 § 123.12,21 CFR 123,What language must seafood importers use when keeping records of their affirmative steps?
22,21 CFR 123 § 123.12,21 CFR 123,Under what circumstances will imported fish and fishery products be denied entry into the United States?
23,21 CFR 123 § 123.15,21 CFR 123,What specific requirements are established for the processing of smoked and smoke-flavored fishery products?
23,21 CFR 123 § 123.15,21 CFR 123,Which subpart of part 123 is augmented by the specific regulations for smoked and smoke-flavored fishery products?
24,21 CFR 123 § 123.16,21 CFR 123,How long must processors of smoke-flavored fishery products control Clostridium botulinum toxin formation in their HACCP plans?
24,21 CFR 123 § 123.16,21 CFR 123,Which specific food safety hazard must be addressed in the HACCP plans for smoked fishery products under process controls?
25,21 CFR 123 § 123.20,21 CFR 123,What specific type of seafood processing does Subpart B of 21 CFR 123 regulate?
25,21 CFR 123 § 123.20,21 CFR 123,Under what condition regarding microbial destruction do the general processing requirements for molluscan shellfish apply?
26,21 CFR 123 § 123.28,21 CFR 123,What origin control requirements must processors include in their HACCP plans to address microbiological and chemical contamination in molluscan shellfish?
26,21 CFR 123 § 123.28,21 CFR 123,Which harvesting authorities must approve the growing waters from which processors are permitted to obtain molluscan shellfish?
27,21 CFR 123 § 123.28,21 CFR 123,What specific supplier documentation requirements must a seafood processor fulfill when accepting shipments of shellstock?
27,21 CFR 123 § 123.28,21 CFR 123,Which harvesting and tracking details must be documented by processors in their records when receiving molluscan shellfish?
28,21 CFR 123 § 123.28,21 CFR 123,What specific information must be included in the receiving records for shucked molluscan shellfish under source control regulations?
28,21 CFR 123 § 123.28,21 CFR 123,Which regulatory standard must the container labels comply with when a processor receives shucked molluscan shellfish?
29,21 CFR 120 § 120.1,21 CFR 120,Are raw agricultural ingredients used in juice production subject to the compliance requirements of part 120?
29,21 CFR 120 § 120.1,21 CFR 120,What date do the part 120 juice HACCP regulations officially become binding for small businesses with fewer than 500 employees?
30,21 CFR 120 § 120.1,21 CFR 120,"What is the compliance deadline for juice regulations if a very small business employs an average of fewer than 100 full-time equivalent employees and sells fewer than 100,000 units in the United States?"
30,21 CFR 120 § 120.1,21 CFR 120,"When do the HACCP regulations become binding for very small businesses with total annual sales of less than $500,000?"
31,21 CFR 120 § 120.3,21 CFR 120,How is the term 'cleaned' specifically defined in the context of juice HACCP regulations?
31,21 CFR 120 § 120.3,21 CFR 120,What specific standard must citrus juice processors meet when defining 'culled' fruit for surface treatments?
32,21 CFR 120 § 120.3,21 CFR 120,Who is legally designated as the importer responsible for ensuring that imported food products comply with applicable U.S. laws at the time of entry?
32,21 CFR 120 § 120.3,21 CFR 120,What specific activities are excluded from the definition of juice product processing under food safety regulations?
33,21 CFR 120 § 120.3,21 CFR 120,How does food safety regulation define a retail establishment in the context of juice operations regarding direct-to-consumer sales versus business-to-business distribution?
33,21 CFR 120 § 120.3,21 CFR 120,What specific regulatory term is used within juice processing standards to denote mandatory requirements rather than advisory procedures?
34,21 CFR 120 § 120.5,21 CFR 120,"Which specific parts of the chapter govern whether juice processing facilities, methods, and controls are considered safe?"
34,21 CFR 120 § 120.5,21 CFR 120,"Under what regulatory provision are juice processing sanitation and good manufacturing practices determined, with the exception of section 117.5(c)?"
35,21 CFR 120 § 120.6,21 CFR 120,What operational timeframes must be covered by a food processor's sanitation standard operating procedures?
35,21 CFR 120 § 120.6,21 CFR 120,Which specific sanitation conditions and practices regarding employee well-being must be addressed in an SSOP to prevent microbiological contamination?
36,21 CFR 120 § 120.6,21 CFR 120,How frequently must a processor monitor processing conditions and practices to ensure they conform to the required sanitation standards?
36,21 CFR 120 § 120.6,21 CFR 120,Under what conditions are sanitation standard operating procedure controls permitted to be excluded from a facility's HACCP plan?
37,21 CFR 120 § 120.7,21 CFR 120,What specific criteria determine whether a food hazard is reasonably likely to occur and must be addressed in a juice processor's HACCP plan?
37,21 CFR 120 § 120.7,21 CFR 120,What are the mandatory components that must be included in a juice processor's written hazard analysis?
38,21 CFR 120 § 120.7,21 CFR 120,What specific qualifications must the personnel responsible for developing a processing plant's hazard analysis possess?
38,21 CFR 120 § 120.7,21 CFR 120,Which chemical and biological factors must be evaluated when determining which food hazards are reasonably likely to occur during production?
39,21 CFR 120 § 120.8,21 CFR 120,Under what specific circumstances is a juice processor legally required to have and implement a written HACCP plan?
39,21 CFR 120 § 120.8,21 CFR 120,What qualifications must the individual or individuals possess who develop a processor's HACCP plan?
40,21 CFR 120 § 120.8,21 CFR 120,What specific details regarding critical control points must be included in a juice HACCP plan to address food hazards originating outside the processing plant environment?
40,21 CFR 120 § 120.8,21 CFR 120,How must a processor's recordkeeping system document the monitoring of critical control points according to the HACCP regulations?
41,21 CFR 120 § 120.9,21 CFR 120,"Under what conditions are a juice processor's products considered adulterated according to the Federal Food, Drug, and Cosmetic Act?"
41,21 CFR 120 § 120.9,21 CFR 120,How does the regulatory authority determine whether a juice processor's actions ensure product safety?
42,21 CFR 120 § 120.10,21 CFR 120,What specific measures must be outlined in a pre-established corrective action plan to address critical limit deviations?
42,21 CFR 120 § 120.10,21 CFR 120,What mandatory steps must a food processor take when a critical limit deviation happens and no appropriate corrective action plan exists?
43,21 CFR 120 § 120.10,21 CFR 120,What specific steps must be taken regarding an affected food product when a HACCP deviation occurs to prevent adulterated items from entering commerce?
43,21 CFR 120 § 120.10,21 CFR 120,Who is authorized to perform the timely verification required to determine if a HACCP plan needs modification after a deviation?
44,21 CFR 120 § 120.11,21 CFR 120,What specific verification activity must citrus juice processors perform if they rely wholly or in part on surface treatment of the fruit?
44,21 CFR 120 § 120.11,21 CFR 120,Within what timeframe must a trained individual review and sign records documenting the monitoring of critical control points?
45,21 CFR 120 § 120.11,21 CFR 120,What is the minimum required purpose of reviewing records related to instrument calibration and periodic testing?
45,21 CFR 120 § 120.11,21 CFR 120,"Which section's procedures must a processor follow when a verification activity, such as analyzing consumer complaints, indicates that a corrective action is necessary?"
46,21 CFR 120 § 120.11,21 CFR 120,How frequently must a food processor validate their HACCP plan after its initial implementation?
46,21 CFR 120 § 120.11,21 CFR 120,What qualifications are required for the individual responsible for performing a HACCP plan validation?
47,21 CFR 120 § 120.11,21 CFR 120,When must a juice processor reassess the adequacy of a hazard analysis that determined no food hazards were reasonably likely to occur?
47,21 CFR 120 § 120.11,21 CFR 120,Who is qualified to perform the validation of a juice processor's hazard analysis under 21 CFR 120.11?
48,21 CFR 120 § 120.12,21 CFR 120,What specific information regarding monitoring activities must be documented in the ongoing records of a HACCP plan?
48,21 CFR 120 § 120.12,21 CFR 120,Which types of required HACCP documentation are exempt from needing a recorded time alongside the date?
49,21 CFR 120 § 120.12,21 CFR 120,At what specific time must processing and monitoring observations be entered into the required records?
49,21 CFR 120 § 120.12,21 CFR 120,How long must a juice processor retain records for shelf-stable juice products after the preparation date?
50,21 CFR 120 § 120.12,21 CFR 120,What is the maximum allowable timeframe for retrieving and providing offsite HACCP processing records onsite following an official request?
50,21 CFR 120 § 120.12,21 CFR 120,Under what conditions are required HACCP compliance records made available for public disclosure?
51,21 CFR 120 § 120.12,21 CFR 120,Under what conditions are HACCP records required by part 120 subject to public disclosure?
51,21 CFR 120 § 120.12,21 CFR 120,Are food safety processors permitted to maintain their required HACCP records in a computerized format?
52,21 CFR 120 § 120.13,21 CFR 120,What educational or experiential qualifications are required for someone responsible for developing a juice HACCP plan?
52,21 CFR 120 § 120.13,21 CFR 120,Must the individual tasked with performing required record reviews for juice processing be a direct employee of the facility?
53,21 CFR 120 § 120.14,21 CFR 120,What specific documentation or agreements must an importer have in place when sourcing juice from a foreign country to satisfy FDA compliance requirements?
53,21 CFR 120 § 120.14,21 CFR 120,What mandatory elements must be included in an importer's written procedures to guarantee that imported juice products are processed in accordance with U.S. standards?
54,21 CFR 120 § 120.14,21 CFR 120,What types of certificates can an importer obtain from an appropriate foreign government inspection authority or competent third party to verify that imported food was processed in compliance with HACCP requirements?
54,21 CFR 120 § 120.14,21 CFR 120,Can an importer hire an outside expert to help carry out import verification activities and draft the corresponding procedures?
55,21 CFR 120 § 120.14,21 CFR 120,What language must juice importers use when maintaining records of affirmative steps?
55,21 CFR 120 § 120.14,21 CFR 120,What happens to imported juice entries when assurances are lacking that they were processed under conditions equivalent to domestic requirements?
56,21 CFR 120 § 120.20,21 CFR 120,What specific requirements are established by the regulations for process controls within juice Hazard Analysis Critical Control Point systems?
56,21 CFR 120 § 120.20,21 CFR 120,How does the general guidance in subpart A relate to the specific process control regulations outlined in the subsequent provisions?
57,21 CFR 120 § 120.24,21 CFR 120,What is the minimum microbial reduction level that juice HACCP plans must consistently achieve for the pertinent microorganism?
57,21 CFR 120 § 120.24,21 CFR 120,Which juice processors are exempt from the standard five-log reduction process control requirements?
58,21 CFR 120 § 120.24,21 CFR 120,At what point in the operation must citrus juice processors ensure that the 5-log reduction process begins when applying treatments to fruit surfaces?
58,21 CFR 120 § 120.24,21 CFR 120,Where must juice processors perform final product packaging while operating under current good manufacturing practices?
59,21 CFR 120 § 120.25,21 CFR 120,What is the required daily sampling volume and frequency for finished juice products when a processor uses treatments that do not make direct contact with all parts of the juice?
59,21 CFR 120 § 120.25,21 CFR 120,Which specific analytical method or equivalent alternative must juice processors use when testing finished product subsamples for the presence of biotype I Escherichia coli?
60,21 CFR 120 § 120.25,21 CFR 120,What specific incubation temperature and duration are required after transferring the preenriched juice sample into EC Broth during process verification?
60,21 CFR 120 § 120.25,21 CFR 120,What immediate actions must a juice processor take if a 20 mL sample is recorded as positive for E. coli?
61,21 CFR 120 § 120.25,21 CFR 120,What specific actions must a juice processor take immediately if two out of a series of seven test samples test positive for E. coli?
61,21 CFR 120 § 120.25,21 CFR 120,How must a processor respond if a review of monitoring records or additional testing reveals that the 5-log reduction standard was not met?
62,Codex CXC 1-1969 § 1,Codex CXC 1-1969,What negative impacts can foodborne illness and foodborne injury have on human health and society?
62,Codex CXC 1-1969 § 1,Codex CXC 1-1969,Which stakeholders along the supply chain share the responsibility for ensuring food is safe and suitable for consumption?
63,Codex CXC 1-1969 § 1,Codex CXC 1-1969,What specific baseline measures might fully satisfy food safety responsibilities for certain food business operators?
63,Codex CXC 1-1969 § 1,Codex CXC 1-1969,How can a food business operator determine whether their implemented good hygiene practices are sufficient to address food safety?
64,Codex CXC 1-1969 § 1,Codex CXC 1-1969,What external resources can a food business operator use for hazard analysis information if they lack internal expertise?
64,Codex CXC 1-1969 § 1,Codex CXC 1-1969,Which cleaning activities in a food establishment typically require greater attention to ensure food safety?
65,Codex CXC 1-1969 § 1,Codex CXC 1-1969,Under what specific circumstances might the implementation of good hygiene practices alone prove insufficient to guarantee food safety?
65,Codex CXC 1-1969 § 1,Codex CXC 1-1969,"When a hazard analysis reveals significant hazards that cannot be controlled solely through good hygiene practices, what mechanism should be used to address them?"
66,Codex CXC 1-1969 § 2,Codex CXC 1-1969,What purpose do the HACCP system and Good Hygiene Practices serve regarding the food chain?
66,Codex CXC 1-1969 § 2,Codex CXC 1-1969,How do general principles of food hygiene support the creation of sector- and product-specific codes of practice?
67,Codex CXC 1-1969 § 3,Codex CXC 1-1969,What general framework does this document provide regarding the production of safe and suitable food for consumption?
67,Codex CXC 1-1969 § 3,Codex CXC 1-1969,Across which stages of the food chain—from primary production through to retail and transport—are necessary hygiene and food safety controls outlined?
68,Codex CXC 1-1969 § 4,Codex CXC 1-1969,What core question must food business operators ask in every situation to ensure food is safe and suitable for consumption?
68,Codex CXC 1-1969 § 4,Codex CXC 1-1969,How should a food business operator evaluate whether a specific safety measure is necessary or appropriate?
69,Codex CXC 1-1969 § 4,Codex CXC 1-1969,What specific objectives must competent authorities achieve when deciding how to apply food hygiene general principles through legislation or regulation?
69,Codex CXC 1-1969 § 4,Codex CXC 1-1969,What responsibilities do food business operators have regarding the application of hygienic practices and food safety principles outlined in the guidelines?
70,Codex CXC 1-1969 § 4,Codex CXC 1-1969,What responsibilities do consumers have regarding food hygiene and safety?
70,Codex CXC 1-1969 § 4,Codex CXC 1-1969,How can food handlers prevent foodborne pathogens and protect products from contamination?
71,Codex CXC 1-1969 § 5,Codex CXC 1-1969,What forms the foundational basis for implementing an effective HACCP system within a food business?
71,Codex CXC 1-1969 § 5,Codex CXC 1-1969,Under what circumstances must food business operators combine Good Hygiene Practices with additional control measures at Critical Control Points?
72,Codex CXC 1-1969 § 5,Codex CXC 1-1969,What key elements are necessary for cultivating a positive food safety culture within a food business?
72,Codex CXC 1-1969 § 5,Codex CXC 1-1969,How should management ensure the ongoing effectiveness of existing food hygiene systems when implementing operational changes?
73,Codex CXC 1-1969 § 5,Codex CXC 1-1969,What personnel practices must be ensured regarding training and supervision in food safety management?
73,Codex CXC 1-1969 § 5,Codex CXC 1-1969,How should continual improvement be encouraged in the context of scientific and technological developments?
74,Codex CXC 1-1969 § 6,Codex CXC 1-1969,How is the threshold defined at which a food containing a hazard is deemed safe for its intended purpose?
74,Codex CXC 1-1969 § 6,Codex CXC 1-1969,"What term describes any biological, chemical, or physical agent that is not intentionally added to food but may compromise its safety or suitability?"
75,Codex CXC 1-1969 § 6,Codex CXC 1-1969,What specific term defines the measurable criterion at a critical control point that distinguishes between acceptable and unacceptable food?
75,Codex CXC 1-1969 § 6,Codex CXC 1-1969,How is the failure to comply with a Good Hygiene Practice procedure or a critical limit formally classified in food safety management?
76,Codex CXC 1-1969 § 6,Codex CXC 1-1969,"What specific combination of biological, chemical, and physical agents in food has the potential to trigger adverse health effects?"
76,Codex CXC 1-1969 § 6,Codex CXC 1-1969,"How is the collection and evaluation of information regarding agents in raw materials, ingredients, and the processing environment defined for determining significant hazards?"
77,Codex CXC 1-1969 § 6,Codex CXC 1-1969,How does the food safety code define a significant hazard in the context of hazard analysis?
77,Codex CXC 1-1969 § 6,Codex CXC 1-1969,What term describes the process of gathering evidence to confirm that a control measure can achieve a specified outcome when properly applied?
78,Codex CXC 1-1969 § 7,Codex CXC 1-1969,"What foundational conditions and activities across the food chain are established through the development, implementation, and maintenance of Good Hygiene Practices?"
78,Codex CXC 1-1969 § 7,Codex CXC 1-1969,Which operational factors and sources of potential contamination must be properly managed using Good Hygiene Practices to support the production of safe food?
79,Codex CXC 1-1969 § 7,Codex CXC 1-1969,What specific measures help minimize the potential for foodborne pathogen contamination from faecal sources?
79,Codex CXC 1-1969 § 7,Codex CXC 1-1969,How should food safety hazards be managed when standard Good Hygiene Practices are insufficient to guarantee safe food?
80,Codex CXC 1-1969 § 7,Codex CXC 1-1969,When is it necessary to develop and implement a HACCP system based on hazard identification?
80,Codex CXC 1-1969 § 7,Codex CXC 1-1969,What action should be taken regarding food safety control when hazards still require management after Good Hygiene Practices are implemented?
81,Codex CXC 1-1969 § 8,Codex CXC 1-1969,How should agricultural water be managed when it presents a potential safety hazard during primary production activities like crop irrigation or rinsing?
81,Codex CXC 1-1969 § 8,Codex CXC 1-1969,What specific prerequisite programmes can food producers apply to minimize hazard levels during primary production when complete elimination is difficult?
82,Codex CXC 1-1969 § 8,Codex CXC 1-1969,What specific environmental locations must food business operators avoid for primary production to prevent unacceptable levels of food contamination?
82,Codex CXC 1-1969 § 8,Codex CXC 1-1969,"What measures should producers implement to control potential contamination arising from soil, water, feedstuffs, fertilizers, and pesticides during primary production?"
83,Codex CXC 1-1969 § 8,Codex CXC 1-1969,What specific measures must be observed regarding veterinary drugs and pesticides during primary production to prevent health threats?
83,Codex CXC 1-1969 § 8,Codex CXC 1-1969,How should rejected food material be handled and disposed of during the sorting process in primary production?
84,Codex CXC 1-1969 § 9,Codex CXC 1-1969,How should food contact surfaces and materials be selected regarding toxicity during the design of food facilities?
84,Codex CXC 1-1969 § 9,Codex CXC 1-1969,What specific measures must the layout and design of food establishments include to prevent pest problems?
85,Codex CXC 1-1969 § 9.1.1,Codex CXC 1-1969,What environmental factors should be considered when selecting a site for a food establishment to prevent uncontrollable food safety hazards?
85,Codex CXC 1-1969 § 9.1.1,Codex CXC 1-1969,Under what specific environmental conditions should food businesses avoid setting up operations unless adequate protective measures are implemented?
86,Codex CXC 1-1969 § 9.1.2,Codex CXC 1-1969,How can food establishments separate areas with different hygiene control levels to prevent cross-contamination?
86,Codex CXC 1-1969 § 9.1.2,Codex CXC 1-1969,What considerations regarding building design and operational flow should be implemented to minimize the risk of cross-contamination between raw materials and finished products?
87,Codex CXC 1-1969 § 9.1.3,Codex CXC 1-1969,What specific material properties are required for walls and partitions within food processing establishments to ensure proper food safety?
87,Codex CXC 1-1969 § 9.1.3,Codex CXC 1-1969,How should ceilings and overhead fixtures in food facilities be finished and constructed to prevent contamination?
88,Codex CXC 1-1969 § 9.1.4,Codex CXC 1-1969,"What factors must be considered during the location, design, and construction of temporary food premises to prevent food safety issues?"
88,Codex CXC 1-1969 § 9.1.4,Codex CXC 1-1969,What specific amenities need to be supplied when appropriate for mobile food establishments and market stalls?
89,Codex CXC 1-1969 § 9.2.1,Codex CXC 1-1969,How should plumbing systems be managed to prevent contamination risks related to sewer gases and backflow?
89,Codex CXC 1-1969 § 9.2.1,Codex CXC 1-1969,What specific location requirement applies to waste disposal sites in order to prevent pest infestations at a food establishment?
90,Codex CXC 1-1969 § 9.2.2,Codex CXC 1-1969,What specific separation requirements apply to the cleaning tools and equipment originating from highly contaminated zones such as toilets and waste disposal areas?
90,Codex CXC 1-1969 § 9.2.2,Codex CXC 1-1969,How should hand washing facilities be separated from other washing operations in food establishments?
91,Codex CXC 1-1969 § 9.2.3,Codex CXC 1-1969,What specific equipment and features must be included in personnel hygiene and toilet facilities to prevent food contamination?
91,Codex CXC 1-1969 § 9.2.3,Codex CXC 1-1969,What alternative uses are strictly prohibited for handwashing basins located in food hygiene facilities?
92,Codex CXC 1-1969 § 9.2.4,Codex CXC 1-1969,"What types of facilities must be available for handling food, depending on the specific operations being performed?"
92,Codex CXC 1-1969 § 9.2.4,Codex CXC 1-1969,How should ambient temperatures be managed to maintain the safety and suitability of food during operations?
93,Codex CXC 1-1969 § 9.2.5,Codex CXC 1-1969,How should ventilation systems be designed regarding airflow direction between clean and contaminated areas?
93,Codex CXC 1-1969 § 9.2.5,Codex CXC 1-1969,What specific risks related to moisture control must ventilation address in dried foods?
94,Codex CXC 1-1969 § 9.2.6,Codex CXC 1-1969,How should light fixtures be treated to prevent food contamination in the event of a breakage?
94,Codex CXC 1-1969 § 9.2.6,Codex CXC 1-1969,What impact should the installed lighting have on the inspection of food defects and facility cleanliness?
95,Codex CXC 1-1969 § 9.2.7,Codex CXC 1-1969,How must storage facilities be designed to prevent allergen cross-contact and other forms of contamination during the holding of food?
95,Codex CXC 1-1969 § 9.2.7,Codex CXC 1-1969,What specific measures are required for storing cleaning materials and hazardous substances safely and hygienically?
96,Codex CXC 1-1969 § 9.3.1,Codex CXC 1-1969,What criteria must food contact equipment and containers meet regarding their materials and hygienic design to prevent food contamination?
96,Codex CXC 1-1969 § 9.3.1,Codex CXC 1-1969,"How should equipment be designed and constructed to allow for proper maintenance, cleaning, disinfection, and pest inspection?"
97,Codex CXC 1-1969 § 9.3.2,Codex CXC 1-1969,"How should equipment used for cooking, heating, cooling, storing, or freezing food be designed regarding temperature management?"
97,Codex CXC 1-1969 § 9.3.2,Codex CXC 1-1969,When is it appropriate to calibrate food process monitoring equipment?
98,Codex CXC 1-1969 § 10,Codex CXC 1-1969,What level of food hygiene understanding is required for personnel who come into contact with food operations?
98,Codex CXC 1-1969 § 10,Codex CXC 1-1969,What specific instruction must be given to staff members who handle cleaning chemicals or other hazardous chemicals?
99,Codex CXC 1-1969 § 10,Codex CXC 1-1969,What specific topics should be included in food safety training programmes regarding personal hygiene?
99,Codex CXC 1-1969 § 10,Codex CXC 1-1969,How does direct customer interaction affect the training requirements for personnel in retail and food service operations?
100,Codex CXC 1-1969 § 10,Codex CXC 1-1969,How should the effectiveness of food safety training and instruction programmes be evaluated over time?
100,Codex CXC 1-1969 § 10,Codex CXC 1-1969,What kind of documentation needs to be maintained regarding completed training sessions?
101,Codex CXC 1-1969 § 11,Codex CXC 1-1969,What are the primary objectives for establishing waste management and pest control systems in a food establishment?
101,Codex CXC 1-1969 § 11,Codex CXC 1-1969,Why is ongoing establishment maintenance and disinfection necessary for controlling food safety hazards?
102,Codex CXC 1-1969 § 11.1.1,Codex CXC 1-1969,How should cleaning and disinfection chemicals be stored in relation to food to prevent contamination?
102,Codex CXC 1-1969 § 11.1.1,Codex CXC 1-1969,What specific physical contaminants should the maintenance of food establishments and equipment help prevent?
103,Codex CXC 1-1969 § 11.1.1,Codex CXC 1-1969,How should cleaning equipment be maintained to prevent it from becoming a source of cross-contamination?
103,Codex CXC 1-1969 § 11.1.1,Codex CXC 1-1969,What measures are required for cleaning equipment to ensure it does not contaminate food or surfaces?
104,Codex CXC 1-1969 § 11.1.2,Codex CXC 1-1969,What specific techniques are permitted for cleaning food processing areas where the use of water would increase the risk of microbiological contamination?
104,Codex CXC 1-1969 § 11.1.2,Codex CXC 1-1969,How can pressure washing inadvertently cause contamination during sanitation procedures in food processing facilities?
105,Codex CXC 1-1969 § 11.1.2,Codex CXC 1-1969,What specific details must be included in written sanitation protocols for food establishments?
105,Codex CXC 1-1969 § 11.1.2,Codex CXC 1-1969,What potential food safety risk is associated with applying sub-lethal levels of disinfectants?
106,Codex CXC 1-1969 § 11.1.3,Codex CXC 1-1969,What specific parameters can be measured to monitor the implementation and effectiveness of sanitation procedures?
106,Codex CXC 1-1969 § 11.1.3,Codex CXC 1-1969,Why might a facility consider rotating its disinfecting agents over time?
107,Codex CXC 1-1969 § 11.1.3,Codex CXC 1-1969,How can cleaning and disinfection procedures be observed to ensure necessary results are achieved and protocols are followed?
107,Codex CXC 1-1969 § 11.1.3,Codex CXC 1-1969,"What action should be taken regarding cleaning, disinfection, and maintenance procedures to account for changing circumstances?"
108,Codex CXC 1-1969 § 11.2.1,Codex CXC 1-1969,What specific measures can be implemented to minimize the likelihood of pest infestations and reduce reliance on pesticides?
108,Codex CXC 1-1969 § 11.2.1,Codex CXC 1-1969,Which factors contribute to the occurrence of pest infestations in food handling areas?
109,Codex CXC 1-1969 § 11.2.2,Codex CXC 1-1969,What physical measures should food-processing facilities use on open windows and ventilators to minimize the entry of pests?
109,Codex CXC 1-1969 § 11.2.2,Codex CXC 1-1969,How should roll-up doors be fitted in relation to the floor to prevent pest access?
110,Codex CXC 1-1969 § 11.2.3,Codex CXC 1-1969,How should potential food sources be stored and positioned within a food establishment to prevent pest infestation?
110,Codex CXC 1-1969 § 11.2.3,Codex CXC 1-1969,What measures should be taken regarding landscaping and old equipment to reduce the risk of pests harbouring around food premises?
111,Codex CXC 1-1969 § 11.2.4,Codex CXC 1-1969,How should insect light traps and bait stations be positioned and built within a food establishment to avoid contaminating products or facilities?
111,Codex CXC 1-1969 § 11.2.4,Codex CXC 1-1969,What responsibilities do food business operators have regarding pest monitoring reports when pest control services are handled by an outside provider?
